collection,encoder,image_family,image_weight,validation_n,pre2025_validation_transaction_mse,pre2025_validation_transaction_rmse
BAYC,DINOv2,LightGBM,0.9,6187,1.9201745183329861,1.3857036185032447
BAYC,DINOv2,LightGBM,1.0,6187,1.9216876607134652,1.3862494943961081
BAYC,CLIP,OLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,OLS,0.1,6187,1.9144409515169494,1.3836332431381335
BAYC,CLIP,OLS,0.2,6187,1.914623668830982,1.3836992696503752
BAYC,CLIP,OLS,0.3,6187,1.9149550577139796,1.3838190119065352
BAYC,CLIP,OLS,0.4,6187,1.9154351181659406,1.3839924559642443
BAYC,CLIP,OLS,0.5,6187,1.9160638501868676,1.3842195816368397
BAYC,CLIP,OLS,0.6,6187,1.9168412537767585,1.3845003625051018
BAYC,CLIP,OLS,0.7,6187,1.9177673289356136,1.3848347659326052
BAYC,CLIP,OLS,0.8,6187,1.9188420756634343,1.3852227530846561
BAYC,CLIP,OLS,0.9,6187,1.920065493960219,1.3856642789507922
BAYC,CLIP,OLS,1.0,6187,1.9214375838259685,1.3861592923708186
BAYC,CLIP,Ridge,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,Ridge,0.1,6187,1.914439389064406,1.383632678518546
BAYC,CLIP,Ridge,0.2,6187,1.9146145851799727,1.3836959872674246
BAYC,CLIP,Ridge,0.3,6187,1.9149324941185824,1.3838108592284504
BAYC,CLIP,Ridge,0.4,6187,1.9153931158802333,1.383977281562177
BAYC,CLIP,Ridge,0.5,6187,1.9159964504649274,1.3841952356748406
BAYC,CLIP,Ridge,0.6,6187,1.9167424978726626,1.3844646972287384
BAYC,CLIP,Ridge,0.7,6187,1.9176312581034411,1.3847856361558064
BAYC,CLIP,Ridge,0.8,6187,1.918662731157261,1.3851580166743653
BAYC,CLIP,Ridge,0.9,6187,1.9198369170341234,1.3855817973090305
BAYC,CLIP,Ridge,1.0,6187,1.9211538157340278,1.3860569309137443
BAYC,CLIP,ElasticNet,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,ElasticNet,0.1,6187,1.9144458464342955,1.3836350120007428
BAYC,CLIP,ElasticNet,0.2,6187,1.914626707008629,1.3837003674960229
BAYC,CLIP,ElasticNet,0.3,6187,1.9149494874948805,1.3838169992794858
BAYC,CLIP,ElasticNet,0.4,6187,1.9154141878930515,1.3839848943875983
BAYC,CLIP,ElasticNet,0.5,6187,1.9160208082031418,1.3842040341666186
BAYC,CLIP,ElasticNet,0.6,6187,1.91676934842515,1.3844743942829532
BAYC,CLIP,ElasticNet,0.7,6187,1.9176598085590773,1.3847959447366522
BAYC,CLIP,ElasticNet,0.8,6187,1.9186921886049237,1.3851686498780298
BAYC,CLIP,ElasticNet,0.9,6187,1.9198664885626888,1.3855924684273833
BAYC,CLIP,ElasticNet,1.0,6187,1.921182708432373,1.3860673534977919
BAYC,CLIP,PLS,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,PLS,0.1,6187,1.9143967983596513,1.3836172875328103
BAYC,CLIP,PLS,0.2,6187,1.9145303131113423,1.3836655351317175
BAYC,CLIP,PLS,0.3,6187,1.9148074500269556,1.3837656774277052
BAYC,CLIP,PLS,0.4,6187,1.91522820910649,1.3839177031552454
BAYC,CLIP,PLS,0.5,6187,1.915792590349947,1.3841215952184067
BAYC,CLIP,PLS,0.6,6187,1.9165005937573265,1.3843773307004585
BAYC,CLIP,PLS,0.7,6187,1.917352219328627,1.3846848808767382
BAYC,CLIP,PLS,0.8,6187,1.9183474670638496,1.3850442112307642
BAYC,CLIP,PLS,0.9,6187,1.9194863369629946,1.3854552814735648
BAYC,CLIP,PLS,1.0,6187,1.9207688290260605,1.385918045566209
BAYC,CLIP,LinearSVR,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,LinearSVR,0.1,6187,1.9144332471993821,1.3836304590458328
BAYC,CLIP,LinearSVR,0.2,6187,1.9146022694695766,1.383691536965366
BAYC,CLIP,LinearSVR,0.3,6187,1.9149139725824655,1.3838041669912928
BAYC,CLIP,LinearSVR,0.4,6187,1.9153683565380484,1.383968336537382
BAYC,CLIP,LinearSVR,0.5,6187,1.9159654213363257,1.3841840272652788
BAYC,CLIP,LinearSVR,0.6,6187,1.9167051669772979,1.3844512150947386
BAYC,CLIP,LinearSVR,0.7,6187,1.9175875934609636,1.3847698702170566
BAYC,CLIP,LinearSVR,0.8,6187,1.9186127007873237,1.3851399571116716
BAYC,CLIP,LinearSVR,0.9,6187,1.9197804889563783,1.3855614345659228
BAYC,CLIP,LinearSVR,1.0,6187,1.9210909579681281,1.3860342556979348
BAYC,CLIP,HistGradientBoosting,0.0,6187,1.9144069057718818,1.38362094005977
BAYC,CLIP,HistGradientBoosting,0.1,6187,1.9143758839195235,1.38360972962737
BAYC,CLIP,HistGradientBoosting,0.2,6187,1.9145052104060762,1.383656464013404
BAYC,CLIP,HistGradientBoosting,0.3,6187,1.9147948852315384,1.3837611373468828
BAYC,CLIP,HistGradientBoosting,0.4,6187,1.9152449083959109,1.3839237364811368
BAYC,CLIP,HistGradientBoosting,0.5,6187,1.915855279899194,1.384144241002069
